\fp_pow_0002:fp_pow_inst|__ALT_INV__Add13~5,37
\fp_pow_0002:fp_pow_inst|dspba_delay:redist61|__ALT_INV__delay_signals[0][0],36
\fp_pow_0002:fp_pow_inst|dspba_delay:redist18|__ALT_INV__delay_signals[0][1],36
\fp_pow_0002:fp_pow_inst|redist9_replace_rdreg_q[1],36
\fp_pow_0002:fp_pow_inst|__ALT_INV__Add13~9,36
\fp_pow_0002:fp_pow_inst|dspba_delay:redist45|__ALT_INV__delay_signals[0][1],36
\fp_pow_0002:fp_pow_inst|dspba_delay:redist65|__ALT_INV__delay_signals[0][0],36
\fp_pow_0002:fp_pow_inst|dspba_delay:redist45|__ALT_INV__delay_signals[0][0],36
\fp_pow_0002:fp_pow_inst|dspba_delay:redist45|__ALT_INV__delay_signals[0][3],35
\fp_pow_0002:fp_pow_inst|__ALT_INV__Add13~13,35
\fp_pow_0002:fp_pow_inst|redist102_sticky_ena_q[0],35
\fp_pow_0002:fp_pow_inst|dspba_delay:signProd_uid106_fpPowrTest_delay|__ALT_INV__delay_signals[0][0],35
\fp_pow_0002:fp_pow_inst|dspba_delay:redist51|__ALT_INV__delay_signals[0][1]~DUPLICATE,35
\fp_pow_0002:fp_pow_inst|prodYLogX_uid93_fpPowrTest_result_add_0_0_p2_of_2_o[6],35
\fp_pow_0002:fp_pow_inst|dspba_delay:redist51|__ALT_INV__delay_signals[0][2]~DUPLICATE,35
\fp_pow_0002:fp_pow_inst|dspba_delay:redist98|__ALT_INV__delay_signals[0][0]~DUPLICATE,34
\fp_pow_0002:fp_pow_inst|altera_syncram:redist102_replace_mem_dmem|altera_syncram_0eg3:auto_generated|altsyncram_rmb4:altsyncram1|rdaddr_reg[0],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist90|delay_signals[0][6],34
\fp_pow_0002:fp_pow_inst|altera_syncram:redist102_replace_mem_dmem|altera_syncram_0eg3:auto_generated|altsyncram_rmb4:altsyncram1|rdaddr_reg[1],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist90|delay_signals[0][0],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist90|delay_signals[0][2],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist90|delay_signals[0][5],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist90|delay_signals[0][1],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist90|delay_signals[0][4],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist90|delay_signals[0][3],34
\fp_pow_0002:fp_pow_inst|__ALT_INV__Add13~17,34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist90|delay_signals[0][7],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist45|__ALT_INV__delay_signals[0][2],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist95|__ALT_INV__delay_signals[0][4],34
\fp_pow_0002:fp_pow_inst|dspba_delay:redist51|delay_signals[0][0],33
\fp_pow_0002:fp_pow_inst|dspba_delay:redist47|__ALT_INV__delay_signals[0][2],33
\fp_pow_0002:fp_pow_inst|dspba_delay:redist47|__ALT_INV__delay_signals[0][3],33
\fp_pow_0002:fp_pow_inst|dspba_delay:redist45|__ALT_INV__delay_signals[0][4],33
\fp_pow_0002:fp_pow_inst|__ALT_INV__Add13~21,33
\fp_pow_0002:fp_pow_inst|dspba_delay:redist47|__ALT_INV__delay_signals[0][1],33
\fp_pow_0002:fp_pow_inst|dspba_delay:redist47|__ALT_INV__delay_signals[0][0],33
\fp_pow_0002:fp_pow_inst|dspba_delay:redist95|__ALT_INV__delay_signals[0][5],33
\fp_pow_0002:fp_pow_inst|dspba_delay:redist47|__ALT_INV__delay_signals[0][5],32
\fp_pow_0002:fp_pow_inst|dspba_delay:redist47|__ALT_INV__delay_signals[0][4],32
\fp_pow_0002:fp_pow_inst|dspba_delay:redist95|__ALT_INV__delay_signals[0][6],32
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][8],31
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][3],31
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][0],31
\fp_pow_0002:fp_pow_inst|__ALT_INV__excRZero_uid180_fpPowrTest_q[0]~0,31
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][4],31
\fp_pow_0002:fp_pow_inst|altera_syncram:redist77_replace_mem_dmem|altera_syncram_udg3:auto_generated|altsyncram_pmb4:altsyncram1|__ALT_INV__dataout_reg[0],31
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][7],31
\fp_pow_0002:fp_pow_inst|redist131_replace_rdreg_q[1],31
\fp_pow_0002:fp_pow_inst|redist131_replace_rdreg_q[2],31
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][5],31
\fp_pow_0002:fp_pow_inst|dspba_delay:zeroCase1_uid177_fpPowrTest_delay|__ALT_INV__delay_signals[0][0],31
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][1],31
\fp_pow_0002:fp_pow_inst|redist131_replace_rdreg_q[0],31
\fp_pow_0002:fp_pow_inst|redist131_replace_rdreg_q[3],31
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][6],31
\fp_pow_0002:fp_pow_inst|__ALT_INV__excRInf_uid196_fpPowrTest_q[0],31
\fp_pow_0002:fp_pow_inst|dspba_delay:redist56|__ALT_INV__delay_signals[0][0]~DUPLICATE,30
\fp_pow_0002:fp_pow_inst|dspba_delay:redist95|__ALT_INV__delay_signals[0][8],30
\fp_pow_0002:fp_pow_inst|dspba_delay:zeroCase0_uid179_fpPowrTest_delay|__ALT_INV__delay_signals[0][0]~DUPLICATE,30
\fp_pow_0002:fp_pow_inst|dspba_delay:redist95|__ALT_INV__delay_signals[0][10],30
\fp_pow_0002:fp_pow_inst|dspba_delay:redist112|delay_signals[0][2]~DUPLICATE,30
\fp_pow_0002:fp_pow_inst|dspba_delay:redist95|__ALT_INV__delay_signals[0][7],30
\fp_pow_0002:fp_pow_inst|__ALT_INV__redist77_replace_rdreg_q[0],29
\fp_pow_0002:fp_pow_inst|dspba_delay:redist95|__ALT_INV__delay_signals[0][2]~DUPLICATE,28
\fp_pow_0002:fp_pow_inst|dspba_delay:redist95|__ALT_INV__delay_signals[0][9],28
\__ALT_INV__rtl~288,27
\fp_pow_0002:fp_pow_inst|dspba_delay:redist93|delay_signals[0][0],27
\fp_pow_0002:fp_pow_inst|dspba_delay:redist48|__ALT_INV__delay_signals[0][3],26
\fp_pow_0002:fp_pow_inst|altera_syncram:redist88_replace_mem_dmem|altera_syncram_sdg3:auto_generated|altsyncram_nmb4:altsyncram1|rdaddr_reg[0],26
\fp_pow_0002:fp_pow_inst|dspba_delay:redist48|__ALT_INV__delay_signals[0][5],26
\fp_pow_0002:fp_pow_inst|dspba_delay:redist48|__ALT_INV__delay_signals[0][4],26
\fp_pow_0002:fp_pow_inst|redist88_sticky_ena_q[0],26
\fp_pow_0002:fp_pow_inst|dspba_delay:redist48|__ALT_INV__delay_signals[0][0],26
\fp_pow_0002:fp_pow_inst|dspba_delay:redist48|__ALT_INV__delay_signals[0][2],26
\fp_pow_0002:fp_pow_inst|dspba_delay:redist48|__ALT_INV__delay_signals[0][1],26
\fp_pow_0002:fp_pow_inst|dspba_delay:redist89|delay_signals[0][3],25
\fp_pow_0002:fp_pow_inst|dspba_delay:redist89|delay_signals[0][6],25
\fp_pow_0002:fp_pow_inst|dspba_delay:redist89|delay_signals[0][7],25
\fp_pow_0002:fp_pow_inst|dspba_delay:redist89|delay_signals[0][0],25
\fp_pow_0002:fp_pow_inst|dspba_delay:redist89|delay_signals[0][1],25
\fp_pow_0002:fp_pow_inst|dspba_delay:redist75_outputreg|delay_signals[0][0],25
\fp_pow_0002:fp_pow_inst|dspba_delay:redist89|delay_signals[0][5],25
\fp_pow_0002:fp_pow_inst|dspba_delay:redist89|delay_signals[0][4],25
\fp_pow_0002:fp_pow_inst|dspba_delay:redist89|delay_signals[0][2],25
\fp_pow_0002:fp_pow_inst|redist137_sticky_ena_q[0],24
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][7],24
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][3],24
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][2],24
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][5],24
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][0],24
\fp_pow_0002:fp_pow_inst|dspba_delay:redist114|__ALT_INV__delay_signals[0][0],24
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][4],24
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][1],24
\fp_pow_0002:fp_pow_inst|multTermOneLog_uid66_fpPowrTest_q[24]~23,24
\fp_pow_0002:fp_pow_inst|redist137_replace_rdreg_q[2],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist132_replace_mem_dmem|altera_syncram_ghg3:auto_generated|altsyncram_bqb4:altsyncram1|rdaddr_reg[0],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist137_replace_mem_dmem|altera_syncram_aeg3:auto_generated|altsyncram_5nb4:altsyncram1|rdaddr_reg[3],23
\fp_pow_0002:fp_pow_inst|redist137_replace_rdreg_q[1],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist137_replace_mem_dmem|altera_syncram_aeg3:auto_generated|altsyncram_5nb4:altsyncram1|rdaddr_reg[0],23
\fp_pow_0002:fp_pow_inst|redist137_replace_rdreg_q[3],23
\fp_pow_0002:fp_pow_inst|redist137_replace_rdreg_q[0],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist132_replace_mem_dmem|altera_syncram_ghg3:auto_generated|altsyncram_bqb4:altsyncram1|rdaddr_reg[1],23
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][6]~DUPLICATE,23
\fp_pow_0002:fp_pow_inst|dspba_delay:redist111|delay_signals[0][8],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist132_replace_mem_dmem|altera_syncram_ghg3:auto_generated|altsyncram_bqb4:altsyncram1|rdaddr_reg[2],23
\fp_pow_0002:fp_pow_inst|redist132_sticky_ena_q[0],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist132_replace_mem_dmem|altera_syncram_ghg3:auto_generated|altsyncram_bqb4:altsyncram1|rdaddr_reg[4],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist132_replace_mem_dmem|altera_syncram_ghg3:auto_generated|altsyncram_bqb4:altsyncram1|rdaddr_reg[3],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist137_replace_mem_dmem|altera_syncram_aeg3:auto_generated|altsyncram_5nb4:altsyncram1|rdaddr_reg[2],23
\fp_pow_0002:fp_pow_inst|altera_syncram:redist137_replace_mem_dmem|altera_syncram_aeg3:auto_generated|altsyncram_5nb4:altsyncram1|rdaddr_reg[1],23
